store_id,week_id,date,is_bm,is_post,treatment_group,store_type,city,region_type,is_metro,capacity,avg_daily_volume,avg_utilization_rate,pct_closure_hours,collection_hrs,rts_rate,complaint_rate,opt_out_rate,is_treated_5d,is_g2,is_g4,cohort
3,0,2026-01-19,1,0,7D,vacant,新竹縣市,regional,0,408,36,0.1,0.0,37.04,0.01459,0.00243,0.00126,0,0,0,normal
3,1,2026-01-26,0,1,7D,vacant,新竹縣市,regional,0,408,36,0.1,0.0,39.26,0.01062,0.00196,0.00106,0,0,0,normal
3,2,2026-02-02,0,1,7D,vacant,新竹縣市,regional,0,408,36,0.1,0.0,36.59,0.01199,0.00267,0.00161,0,0,0,normal
3,3,2026-02-23,0,1,7D,vacant,新竹縣市,regional,0,408,36,0.1,0.0,37.33,0.01132,0.00291,0.00131,0,0,0,normal
3,4,2026-03-02,0,1,7D,vacant,新竹縣市,regional,0,408,36,0.1,0.0,38.65,0.00968,0.00242,0.00129,0,0,0,normal
4,0,2026-01-19,1,0,5D_G4,burst,台北市,metro,1,276,547,1.5,0.2584,33.27,0.01606,0.00351,0.00214,1,0,1,normal
4,1,2026-01-26,0,1,5D_G4,burst,台北市,metro,1,276,547,1.5,0.2584,31.51,0.01533,0.00345,0.00187,1,0,1,normal
4,2,2026-02-02,0,1,5D_G4,burst,台北市,metro,1,276,547,1.5,0.2584,30.72,0.01063,0.00278,0.0016,1,0,1,normal
4,3,2026-02-23,0,1,5D_G4,burst,台北市,metro,1,276,547,1.5,0.2584,29.35,0.0148,0.00305,0.00189,1,0,1,normal
4,4,2026-03-02,0,1,5D_G4,burst,台北市,metro,1,276,547,1.5,0.2584,32.79,0.01329,0.00387,0.00172,1,0,1,normal
5,0,2026-01-19,1,0,6D,burst,其他,rural,0,426,462,1.0845,0.1244,31.91,0.01432,0.00302,0.00088,0,0,0,normal
5,1,2026-01-26,0,1,6D,burst,其他,rural,0,426,462,1.0845,0.1244,34.49,0.01448,0.0023,0.00097,0,0,0,normal
5,2,2026-02-02,0,1,6D,burst,其他,rural,0,426,462,1.0845,0.1244,33.94,0.01294,0.00272,0.00141,0,0,0,normal
5,3,2026-02-23,0,1,6D,burst,其他,rural,0,426,462,1.0845,0.1244,36.24,0.01352,0.00209,0.00145,0,0,0,normal
5,4,2026-03-02,0,1,6D,burst,其他,rural,0,426,462,1.0845,0.1244,34.17,0.01672,0.00302,0.00151,0,0,0,normal
6,0,2026-01-19,1,0,5D_Control,burst,彰化縣,regional,0,394,484,1.2284,0.196,32.89,0.01572,0.00214,0.00128,0,0,0,normal
6,1,2026-01-26,0,1,5D_Control,burst,彰化縣,regional,0,394,484,1.2284,0.196,32.61,0.01827,0.00249,0.00096,0,0,0,normal
6,2,2026-02-02,0,1,5D_Control,burst,彰化縣,regional,0,394,484,1.2284,0.196,33.15,0.01763,0.00302,0.002,0,0,0,normal
6,3,2026-02-23,0,1,5D_Control,burst,彰化縣,regional,0,394,484,1.2284,0.196,39.04,0.01783,0.00211,0.00076,0,0,0,normal
6,4,2026-03-02,0,1,5D_Control,burst,彰化縣,regional,0,394,484,1.2284,0.196,35.07,0.01537,0.00239,0.00122,0,0,0,normal
7,0,2026-01-19,1,0,7D,vacant,屏東縣,regional,0,409,57,0.1394,0.0,36.99,0.01331,0.00252,0.00109,0,0,0,normal
7,1,2026-01-26,0,1,7D,vacant,屏東縣,regional,0,409,57,0.1394,0.0,34.88,0.01003,0.00257,0.00193,0,0,0,normal
7,2,2026-02-02,0,1,7D,vacant,屏東縣,regional,0,409,57,0.1394,0.0,37.58,0.01297,0.00235,0.00104,0,0,0,normal
7,3,2026-02-23,0,1,7D,vacant,屏東縣,regional,0,409,57,0.1394,0.0,35.94,0.00955,0.00366,0.00115,0,0,0,normal
7,4,2026-03-02,0,1,7D,vacant,屏東縣,regional,0,409,57,0.1394,0.0,38.65,0.00919,0.00307,0.00152,0,0,0,normal
8,0,2026-01-19,1,0,7D,vacant,新北市,metro,1,290,72,0.2483,0.0,35.31,0.01169,0.00282,0.00126,0,0,0,normal
8,1,2026-01-26,0,1,7D,vacant,新北市,metro,1,290,72,0.2483,0.0,35.54,0.00844,0.00269,0.00187,0,0,0,normal
8,2,2026-02-02,0,1,7D,vacant,新北市,metro,1,290,72,0.2483,0.0,37.61,0.01076,0.00274,0.00179,0,0,0,normal
8,3,2026-02-23,0,1,7D,vacant,新北市,metro,1,290,72,0.2483,0.0,37.7,0.01018,0.00315,0.00153,0,0,0,normal
8,4,2026-03-02,0,1,7D,vacant,新北市,metro,1,290,72,0.2483,0.0,39.68,0.01137,0.00199,0.00099,0,0,0,normal
9,0,2026-01-19,1,0,6D,burst,台中市,metro,1,270,468,1.5,0.2407,37.41,0.01464,0.00241,0.00184,0,0,0,normal
9,1,2026-01-26,0,1,6D,burst,台中市,metro,1,270,468,1.5,0.2407,33.66,0.01221,0.00292,0.00128,0,0,0,normal
9,2,2026-02-02,0,1,6D,burst,台中市,metro,1,270,468,1.5,0.2407,35.31,0.01367,0.00277,0.00182,0,0,0,normal
9,3,2026-02-23,0,1,6D,burst,台中市,metro,1,270,468,1.5,0.2407,35.46,0.01529,0.00157,0.00139,0,0,0,normal
9,4,2026-03-02,0,1,6D,burst,台中市,metro,1,270,468,1.5,0.2407,34.06,0.01156,0.00216,0.0013,0,0,0,normal
10,0,2026-01-19,1,0,7D,vacant,桃園市,metro,1,319,83,0.2602,0.0,34.24,0.01306,0.00236,0.0013,0,0,0,normal
10,1,2026-01-26,0,1,7D,vacant,桃園市,metro,1,319,83,0.2602,0.0,39.74,0.01208,0.00327,0.00135,0,0,0,normal
10,2,2026-02-02,0,1,7D,vacant,桃園市,metro,1,319,83,0.2602,0.0,37.19,0.01055,0.00272,0.00145,0,0,0,normal
10,3,2026-02-23,0,1,7D,vacant,桃園市,metro,1,319,83,0.2602,0.0,36.61,0.01118,0.00271,0.00216,0,0,0,normal
10,4,2026-03-02,0,1,7D,vacant,桃園市,metro,1,319,83,0.2602,0.0,41.05,0.00929,0.00246,0.00096,0,0,0,normal
11,0,2026-01-19,1,0,6D,burst,其他,rural,0,429,458,1.0676,0.1482,33.5,0.01741,0.00224,0.0012,0,0,0,normal
11,1,2026-01-26,0,1,6D,burst,其他,rural,0,429,458,1.0676,0.1482,30.31,0.01367,0.00207,0.00124,0,0,0,normal
11,2,2026-02-02,0,1,6D,burst,其他,rural,0,429,458,1.0676,0.1482,32.21,0.01381,0.00172,0.00096,0,0,0,normal
11,3,2026-02-23,0,1,6D,burst,其他,rural,0,429,458,1.0676,0.1482,36.72,0.01143,0.00205,0.00195,0,0,0,normal
11,4,2026-03-02,0,1,6D,burst,其他,rural,0,429,458,1.0676,0.1482,37.89,0.01166,0.00242,0.0015,0,0,0,normal
12,0,2026-01-19,1,0,7D,vacant,高雄市,metro,1,296,114,0.3851,0.0,35.4,0.01251,0.00299,0.00153,0,0,0,normal
12,1,2026-01-26,0,1,7D,vacant,高雄市,metro,1,296,114,0.3851,0.0,38.32,0.01073,0.00191,0.00133,0,0,0,normal
12,2,2026-02-02,0,1,7D,vacant,高雄市,metro,1,296,114,0.3851,0.0,38.48,0.01146,0.00232,0.00154,0,0,0,normal
12,3,2026-02-23,0,1,7D,vacant,高雄市,metro,1,296,114,0.3851,0.0,40.4,0.01131,0.00278,0.00142,0,0,0,normal
12,4,2026-03-02,0,1,7D,vacant,高雄市,metro,1,296,114,0.3851,0.0,38.88,0.00956,0.00276,0.00137,0,0,0,normal
13,0,2026-01-19,1,0,7D,vacant,其他,rural,0,402,156,0.3881,0.0,39.53,0.01377,0.00222,0.00107,0,0,0,normal
13,1,2026-01-26,0,1,7D,vacant,其他,rural,0,402,156,0.3881,0.0,40.96,0.01153,0.00284,0.00088,0,0,0,normal
13,2,2026-02-02,0,1,7D,vacant,其他,rural,0,402,156,0.3881,0.0,40.57,0.01191,0.00204,0.00126,0,0,0,normal
13,3,2026-02-23,0,1,7D,vacant,其他,rural,0,402,156,0.3881,0.0,39.57,0.0111,0.00245,0.00137,0,0,0,normal
13,4,2026-03-02,0,1,7D,vacant,其他,rural,0,402,156,0.3881,0.0,38.8,0.01131,0.00334,0.00063,0,0,0,normal
14,0,2026-01-19,1,0,7D,vacant,台中市,metro,1,331,99,0.2991,0.0,35.58,0.01359,0.00241,0.00087,0,0,0,normal
14,1,2026-01-26,0,1,7D,vacant,台中市,metro,1,331,99,0.2991,0.0,37.8,0.01445,0.00183,0.00166,0,0,0,normal
14,2,2026-02-02,0,1,7D,vacant,台中市,metro,1,331,99,0.2991,0.0,36.82,0.01088,0.00207,0.0013,0,0,0,normal
14,3,2026-02-23,0,1,7D,vacant,台中市,metro,1,331,99,0.2991,0.0,39.26,0.01217,0.00347,0.00175,0,0,0,normal
14,4,2026-03-02,0,1,7D,vacant,台中市,metro,1,331,99,0.2991,0.0,37.97,0.01449,0.00282,0.00165,0,0,0,normal
15,0,2026-01-19,1,0,6D,burst,新北市,metro,1,290,552,1.5,0.3297,33.36,0.01361,0.00309,0.00105,0,0,0,normal
15,1,2026-01-26,0,1,6D,burst,新北市,metro,1,290,552,1.5,0.3297,34.94,0.01362,0.00319,0.00163,0,0,0,normal
15,2,2026-02-02,0,1,6D,burst,新北市,metro,1,290,552,1.5,0.3297,36.49,0.01546,0.00181,0.00138,0,0,0,normal
15,3,2026-02-23,0,1,6D,burst,新北市,metro,1,290,552,1.5,0.3297,32.0,0.01296,0.00336,0.00159,0,0,0,normal
15,4,2026-03-02,0,1,6D,burst,新北市,metro,1,290,552,1.5,0.3297,32.71,0.01197,0.00262,0.00104,0,0,0,normal
16,0,2026-01-19,1,0,7D,vacant,台南市,metro,1,287,79,0.2753,0.0,35.43,0.01531,0.0029,0.00071,0,0,0,normal
16,1,2026-01-26,0,1,7D,vacant,台南市,metro,1,287,79,0.2753,0.0,37.42,0.01114,0.00281,0.00188,0,0,0,normal
16,2,2026-02-02,0,1,7D,vacant,台南市,metro,1,287,79,0.2753,0.0,33.87,0.00982,0.0029,0.00093,0,0,0,normal
16,3,2026-02-23,0,1,7D,vacant,台南市,metro,1,287,79,0.2753,0.0,39.18,0.01174,0.00302,0.00123,0,0,0,normal
16,4,2026-03-02,0,1,7D,vacant,台南市,metro,1,287,79,0.2753,0.0,38.18,0.01314,0.00272,0.00147,0,0,0,normal
17,0,2026-01-19,1,0,5D_G2,burst,台北市,metro,1,304,377,1.2401,0.2091,32.42,0.0167,0.00282,0.00172,1,1,0,normal
17,1,2026-01-26,0,1,5D_G2,burst,台北市,metro,1,304,377,1.2401,0.2091,33.72,0.01088,0.00284,0.00204,1,1,0,normal
17,2,2026-02-02,0,1,5D_G2,burst,台北市,metro,1,304,377,1.2401,0.2091,31.1,0.01136,0.003,0.00185,1,1,0,normal
17,3,2026-02-23,0,1,5D_G2,burst,台北市,metro,1,304,377,1.2401,0.2091,32.23,0.01566,0.00333,0.00185,1,1,0,normal
17,4,2026-03-02,0,1,5D_G2,burst,台北市,metro,1,304,377,1.2401,0.2091,33.05,0.01766,0.0028,0.001,1,1,0,normal
18,0,2026-01-19,1,0,7D,vacant,其他,rural,0,487,91,0.1869,0.0,36.1,0.01322,0.00325,0.00092,0,0,0,normal
18,1,2026-01-26,0,1,7D,vacant,其他,rural,0,487,91,0.1869,0.0,36.91,0.0078,0.0022,0.00153,0,0,0,normal
18,2,2026-02-02,0,1,7D,vacant,其他,rural,0,487,91,0.1869,0.0,39.57,0.01155,0.00189,0.00071,0,0,0,normal
18,3,2026-02-23,0,1,7D,vacant,其他,rural,0,487,91,0.1869,0.0,38.86,0.01006,0.00283,0.00161,0,0,0,normal
18,4,2026-03-02,0,1,7D,vacant,其他,rural,0,487,91,0.1869,0.0,38.99,0.01252,0.00271,0.00156,0,0,0,normal
19,0,2026-01-19,1,0,7D,vacant,高雄市,metro,1,246,60,0.2439,0.0,34.67,0.01339,0.00301,0.00128,0,0,0,normal
19,1,2026-01-26,0,1,7D,vacant,高雄市,metro,1,246,60,0.2439,0.0,37.72,0.01047,0.00254,0.00165,0,0,0,normal
19,2,2026-02-02,0,1,7D,vacant,高雄市,metro,1,246,60,0.2439,0.0,33.95,0.00841,0.00186,0.0007,0,0,0,normal
19,3,2026-02-23,0,1,7D,vacant,高雄市,metro,1,246,60,0.2439,0.0,35.92,0.0125,0.00246,0.00146,0,0,0,normal
19,4,2026-03-02,0,1,7D,vacant,高雄市,metro,1,246,60,0.2439,0.0,38.57,0.01366,0.00257,0.00181,0,0,0,normal
20,0,2026-01-19,1,0,7D,vacant,彰化縣,regional,0,450,100,0.2222,0.0,34.32,0.01181,0.00186,0.00113,0,0,0,normal
20,1,2026-01-26,0,1,7D,vacant,彰化縣,regional,0,450,100,0.2222,0.0,37.04,0.01261,0.00346,0.00099,0,0,0,normal
20,2,2026-02-02,0,1,7D,vacant,彰化縣,regional,0,450,100,0.2222,0.0,38.16,0.00892,0.00284,0.00136,0,0,0,normal
20,3,2026-02-23,0,1,7D,vacant,彰化縣,regional,0,450,100,0.2222,0.0,34.83,0.01286,0.0023,0.00124,0,0,0,normal
20,4,2026-03-02,0,1,7D,vacant,彰化縣,regional,0,450,100,0.2222,0.0,35.97,0.00969,0.00281,0.00134,0,0,0,normal
21,0,2026-01-19,1,0,5D_Control,burst,桃園市,metro,1,224,503,1.5,0.3084,34.31,0.01964,0.00243,0.00096,0,0,0,normal
21,1,2026-01-26,0,1,5D_Control,burst,桃園市,metro,1,224,503,1.5,0.3084,35.36,0.01634,0.00316,0.00152,0,0,0,normal
21,2,2026-02-02,0,1,5D_Control,burst,桃園市,metro,1,224,503,1.5,0.3084,33.57,0.0177,0.00358,0.00202,0,0,0,normal
21,3,2026-02-23,0,1,5D_Control,burst,桃園市,metro,1,224,503,1.5,0.3084,33.87,0.01732,0.00314,0.00115,0,0,0,normal
21,4,2026-03-02,0,1,5D_Control,burst,桃園市,metro,1,224,503,1.5,0.3084,34.26,0.01695,0.00276,0.00115,0,0,0,normal
22,0,2026-01-19,1,0,7D,vacant,其他,rural,0,428,51,0.1192,0.0,31.12,0.01077,0.00237,0.00131,0,0,0,normal
22,1,2026-01-26,0,1,7D,vacant,其他,rural,0,428,51,0.1192,0.0,39.13,0.01321,0.00212,0.0015,0,0,0,normal
22,2,2026-02-02,0,1,7D,vacant,其他,rural,0,428,51,0.1192,0.0,35.62,0.01043,0.00269,0.00159,0,0,0,normal
22,3,2026-02-23,0,1,7D,vacant,其他,rural,0,428,51,0.1192,0.0,35.72,0.01313,0.00203,0.0014,0,0,0,normal
22,4,2026-03-02,0,1,7D,vacant,其他,rural,0,428,51,0.1192,0.0,40.12,0.01145,0.00332,0.00143,0,0,0,normal
23,0,2026-01-19,1,0,7D,vacant,其他,rural,0,483,143,0.2961,0.0,35.88,0.01266,0.00221,0.00153,0,0,0,normal
23,1,2026-01-26,0,1,7D,vacant,其他,rural,0,483,143,0.2961,0.0,36.69,0.01233,0.00314,0.00151,0,0,0,normal
23,2,2026-02-02,0,1,7D,vacant,其他,rural,0,483,143,0.2961,0.0,37.54,0.01191,0.00245,0.00168,0,0,0,normal
23,3,2026-02-23,0,1,7D,vacant,其他,rural,0,483,143,0.2961,0.0,35.22,0.01033,0.0016,0.00095,0,0,0,normal
23,4,2026-03-02,0,1,7D,vacant,其他,rural,0,483,143,0.2961,0.0,40.01,0.01279,0.00224,0.00095,0,0,0,normal
24,0,2026-01-19,1,0,7D,vacant,屏東縣,regional,0,439,86,0.1959,0.0,32.31,0.01784,0.00282,0.00123,0,0,0,normal
24,1,2026-01-26,0,1,7D,vacant,屏東縣,regional,0,439,86,0.1959,0.0,35.83,0.00788,0.00245,0.00143,0,0,0,normal
24,2,2026-02-02,0,1,7D,vacant,屏東縣,regional,0,439,86,0.1959,0.0,35.0,0.01258,0.00277,0.0016,0,0,0,normal
24,3,2026-02-23,0,1,7D,vacant,屏東縣,regional,0,439,86,0.1959,0.0,34.1,0.0128,0.00341,0.00111,0,0,0,normal
24,4,2026-03-02,0,1,7D,vacant,屏東縣,regional,0,439,86,0.1959,0.0,33.8,0.01367,0.0025,0.00182,0,0,0,normal
25,0,2026-01-19,1,0,5D_G4,burst,新北市,metro,1,306,408,1.3333,0.2393,35.33,0.01726,0.00363,0.00247,1,0,1,normal
25,1,2026-01-26,0,1,5D_G4,burst,新北市,metro,1,306,408,1.3333,0.2393,30.9,0.01212,0.00328,0.00214,1,0,1,normal
25,2,2026-02-02,0,1,5D_G4,burst,新北市,metro,1,306,408,1.3333,0.2393,29.1,0.01527,0.00323,0.00234,1,0,1,normal
25,3,2026-02-23,0,1,5D_G4,burst,新北市,metro,1,306,408,1.3333,0.2393,27.85,0.01243,0.00266,0.00175,1,0,1,normal
25,4,2026-03-02,0,1,5D_G4,burst,新北市,metro,1,306,408,1.3333,0.2393,31.82,0.01364,0.00337,0.00195,1,0,1,normal
26,0,2026-01-19,1,0,5D_G2,burst,台中市,metro,1,277,435,1.5,0.2622,32.15,0.01841,0.00323,0.00172,1,1,0,normal
26,1,2026-01-26,0,1,5D_G2,burst,台中市,metro,1,277,435,1.5,0.2622,33.0,0.01359,0.00392,0.00157,1,1,0,normal
26,2,2026-02-02,0,1,5D_G2,burst,台中市,metro,1,277,435,1.5,0.2622,31.7,0.01149,0.00238,0.00123,1,1,0,normal
26,3,2026-02-23,0,1,5D_G2,burst,台中市,metro,1,277,435,1.5,0.2622,30.83,0.01286,0.00307,0.00162,1,1,0,normal
26,4,2026-03-02,0,1,5D_G2,burst,台中市,metro,1,277,435,1.5,0.2622,31.01,0.0148,0.00327,0.00155,1,1,0,normal
27,0,2026-01-19,1,0,7D,vacant,台北市,metro,1,301,81,0.2691,0.0,35.8,0.01338,0.00188,0.00138,0,0,0,normal
27,1,2026-01-26,0,1,7D,vacant,台北市,metro,1,301,81,0.2691,0.0,37.37,0.0092,0.00269,0.00096,0,0,0,normal
27,2,2026-02-02,0,1,7D,vacant,台北市,metro,1,301,81,0.2691,0.0,38.98,0.0135,0.00247,0.00151,0,0,0,normal
27,3,2026-02-23,0,1,7D,vacant,台北市,metro,1,301,81,0.2691,0.0,33.36,0.00869,0.00245,0.00108,0,0,0,normal
27,4,2026-03-02,0,1,7D,vacant,台北市,metro,1,301,81,0.2691,0.0,38.05,0.01499,0.00201,0.00115,0,0,0,normal
28,0,2026-01-19,1,0,7D,vacant,新北市,metro,1,289,127,0.4394,0.0,38.11,0.01056,0.00272,0.00195,0,0,0,normal
28,1,2026-01-26,0,1,7D,vacant,新北市,metro,1,289,127,0.4394,0.0,35.21,0.00844,0.00239,0.00124,0,0,0,normal
28,2,2026-02-02,0,1,7D,vacant,新北市,metro,1,289,127,0.4394,0.0,38.91,0.01148,0.00171,0.00155,0,0,0,normal
28,3,2026-02-23,0,1,7D,vacant,新北市,metro,1,289,127,0.4394,0.0,36.82,0.01355,0.00229,0.00121,0,0,0,normal
28,4,2026-03-02,0,1,7D,vacant,新北市,metro,1,289,127,0.4394,0.0,38.5,0.01253,0.00282,0.00089,0,0,0,normal
29,0,2026-01-19,1,0,7D,vacant,新竹縣市,regional,0,388,81,0.2088,0.0,34.38,0.01347,0.00189,0.00153,0,0,0,normal
29,1,2026-01-26,0,1,7D,vacant,新竹縣市,regional,0,388,81,0.2088,0.0,36.72,0.00843,0.00296,0.00147,0,0,0,normal
29,2,2026-02-02,0,1,7D,vacant,新竹縣市,regional,0,388,81,0.2088,0.0,37.01,0.0139,0.00238,0.00141,0,0,0,normal
29,3,2026-02-23,0,1,7D,vacant,新竹縣市,regional,0,388,81,0.2088,0.0,38.33,0.00976,0.00284,0.00124,0,0,0,normal
29,4,2026-03-02,0,1,7D,vacant,新竹縣市,regional,0,388,81,0.2088,0.0,37.31,0.01373,0.00208,0.00068,0,0,0,normal
30,0,2026-01-19,1,0,7D,vacant,彰化縣,regional,0,408,86,0.2108,0.0,40.61,0.01219,0.00163,0.00131,0,0,0,normal
30,1,2026-01-26,0,1,7D,vacant,彰化縣,regional,0,408,86,0.2108,0.0,38.36,0.01062,0.00204,0.00157,0,0,0,normal
30,2,2026-02-02,0,1,7D,vacant,彰化縣,regional,0,408,86,0.2108,0.0,39.58,0.00801,0.00295,0.00202,0,0,0,normal
30,3,2026-02-23,0,1,7D,vacant,彰化縣,regional,0,408,86,0.2108,0.0,39.05,0.01033,0.00253,0.00158,0,0,0,normal
30,4,2026-03-02,0,1,7D,vacant,彰化縣,regional,0,408,86,0.2108,0.0,36.19,0.01133,0.0024,0.00195,0,0,0,normal
31,0,2026-01-19,1,0,7D,vacant,其他,rural,0,427,108,0.2529,0.0,37.86,0.01079,0.00289,0.0015,0,0,0,normal
31,1,2026-01-26,0,1,7D,vacant,其他,rural,0,427,108,0.2529,0.0,36.06,0.01135,0.00321,0.0013,0,0,0,normal
31,2,2026-02-02,0,1,7D,vacant,其他,rural,0,427,108,0.2529,0.0,34.82,0.01096,0.00215,0.0013,0,0,0,normal
31,3,2026-02-23,0,1,7D,vacant,其他,rural,0,427,108,0.2529,0.0,37.24,0.00759,0.00179,0.00154,0,0,0,normal
31,4,2026-03-02,0,1,7D,vacant,其他,rural,0,427,108,0.2529,0.0,36.58,0.00587,0.00299,0.00148,0,0,0,normal
32,0,2026-01-19,1,0,6D,burst,桃園市,metro,1,269,464,1.5,0.264,30.95,0.01667,0.00277,0.00211,0,0,0,normal
32,1,2026-01-26,0,1,6D,burst,桃園市,metro,1,269,464,1.5,0.264,34.06,0.01478,0.00252,0.00165,0,0,0,normal
32,2,2026-02-02,0,1,6D,burst,桃園市,metro,1,269,464,1.5,0.264,34.37,0.0165,0.00234,0.00127,0,0,0,normal
32,3,2026-02-23,0,1,6D,burst,桃園市,metro,1,269,464,1.5,0.264,32.71,0.01558,0.00335,0.00126,0,0,0,normal
32,4,2026-03-02,0,1,6D,burst,桃園市,metro,1,269,464,1.5,0.264,32.79,0.01463,0.00248,0.00169,0,0,0,normal
33,0,2026-01-19,1,0,7D,vacant,桃園市,metro,1,267,119,0.4457,0.0,32.46,0.01144,0.00144,0.00111,0,0,0,normal
33,1,2026-01-26,0,1,7D,vacant,桃園市,metro,1,267,119,0.4457,0.0,34.33,0.0106,0.00316,0.00133,0,0,0,normal
33,2,2026-02-02,0,1,7D,vacant,桃園市,metro,1,267,119,0.4457,0.0,34.15,0.01089,0.00312,0.00111,0,0,0,normal
33,3,2026-02-23,0,1,7D,vacant,桃園市,metro,1,267,119,0.4457,0.0,34.33,0.01212,0.00249,0.00159,0,0,0,normal
33,4,2026-03-02,0,1,7D,vacant,桃園市,metro,1,267,119,0.4457,0.0,35.68,0.0124,0.00208,0.0014,0,0,0,normal
34,0,2026-01-19,1,0,5D_G2,burst,台中市,metro,1,245,339,1.3837,0.2522,31.51,0.01387,0.00324,0.00149,1,1,0,normal
34,1,2026-01-26,0,1,5D_G2,burst,台中市,metro,1,245,339,1.3837,0.2522,30.3,0.01281,0.00346,0.00092,1,1,0,normal
34,2,2026-02-02,0,1,5D_G2,burst,台中市,metro,1,245,339,1.3837,0.2522,29.59,0.01115,0.00363,0.00168,1,1,0,normal
34,3,2026-02-23,0,1,5D_G2,burst,台中市,metro,1,245,339,1.3837,0.2522,32.98,0.01072,0.00234,0.00173,1,1,0,normal
34,4,2026-03-02,0,1,5D_G2,burst,台中市,metro,1,245,339,1.3837,0.2522,31.92,0.0141,0.00281,0.00168,1,1,0,normal
35,0,2026-01-19,1,0,5D_G4,burst,新北市,metro,1,315,360,1.1429,0.1386,34.79,0.01861,0.00269,0.00133,1,0,1,normal
35,1,2026-01-26,0,1,5D_G4,burst,新北市,metro,1,315,360,1.1429,0.1386,33.43,0.01638,0.00299,0.00144,1,0,1,normal
35,2,2026-02-02,0,1,5D_G4,burst,新北市,metro,1,315,360,1.1429,0.1386,32.08,0.01586,0.0044,0.00215,1,0,1,normal
35,3,2026-02-23,0,1,5D_G4,burst,新北市,metro,1,315,360,1.1429,0.1386,31.37,0.01221,0.00351,0.00191,1,0,1,normal
35,4,2026-03-02,0,1,5D_G4,burst,新北市,metro,1,315,360,1.1429,0.1386,30.4,0.0181,0.00439,0.00234,1,0,1,normal
36,0,2026-01-19,1,0,7D,vacant,新北市,metro,1,321,118,0.3676,0.0,36.05,0.01428,0.00282,0.00177,0,0,0,normal
36,1,2026-01-26,0,1,7D,vacant,新北市,metro,1,321,118,0.3676,0.0,37.72,0.01248,0.00292,0.0015,0,0,0,normal
36,2,2026-02-02,0,1,7D,vacant,新北市,metro,1,321,118,0.3676,0.0,34.09,0.01117,0.00232,0.00102,0,0,0,normal
36,3,2026-02-23,0,1,7D,vacant,新北市,metro,1,321,118,0.3676,0.0,39.29,0.01446,0.00328,0.00148,0,0,0,normal
36,4,2026-03-02,0,1,7D,vacant,新北市,metro,1,321,118,0.3676,0.0,38.79,0.01102,0.0027,0.00107,0,0,0,normal
37,0,2026-01-19,1,0,6D,burst,台中市,metro,1,309,300,0.9709,0.0806,33.91,0.01239,0.00257,0.00138,0,0,0,normal
37,1,2026-01-26,0,1,6D,burst,台中市,metro,1,309,300,0.9709,0.0806,37.01,0.01579,0.00261,0.00147,0,0,0,normal
37,2,2026-02-02,0,1,6D,burst,台中市,metro,1,309,300,0.9709,0.0806,34.38,0.01359,0.00206,0.00135,0,0,0,normal
